en,es
Welcome!,¡Bienvenido!
Data,Datos
About,Acerca de
Visualize,Visualiza
Help,Ayuda
Filter data,Filtrar datos
Species,Especies
Collection Location,Ubicaciónes de Recolección
Run,Temporada
Tissue,Tejido
Show unpublished data,Mostrar datos no publicados
Datasets,Conjuntos de datos
Data Collection Locations,Ubicación de Recolección
Visualize your own data,Visualiza sus propios datos
Select a species,Selecta una especies
Thiamine Concentration (nmol/g),Concentracion de Tiamina (nmol/g)
(Optional) % Survived,(Opcional) % Sobrevivió
Thiamine Concentration vs. % Survived,La Concentracion de Tiamina vs. % Sobrevivió
Download table to CSV,Descargar tabla en CSV
Add data,Agregar datos
Download Data,Descargar Datos
